"link","showname","seasons","episodes","rating","poster"
"https://seriesgraph.com/show/64464-112263","11.22.63","1","8","8.0","https://image.tmdb.org/t/p/w400/1fH41ccMKvgDTbbcCxWWH6fznah.jpg"
"https://seriesgraph.com/show/103992-a-teacher","A Teacher","1","10","6.8","https://image.tmdb.org/t/p/w400/rH2eEuThzRQh87Uxz6SY3BuVNBD.jpg"
"https://seriesgraph.com/show/2429-aaahh-real-monsters","Aaahh!!! Real Monsters","4","13","7.2","https://image.tmdb.org/t/p/w400/fnh1Mi108eNKayutKLSqesFgaRv.jpg"
"https://seriesgraph.com/show/133727-acapulco","Acapulco","4","10","7.8","https://image.tmdb.org/t/p/w400/gzBkO4zFr75A13GKnjvTeg25pze.jpg"
"https://seriesgraph.com/show/249042-adolescence","Adolescence","1","4","8.1","https://image.tmdb.org/t/p/w400/20i4nShZZg1g1VFHSB8xpaYM4r7.jpg"
"https://seriesgraph.com/show/138501-agatha-all-along","Agatha All Along","1","9","7.2","https://image.tmdb.org/t/p/w400/mGsxKwXUjojitRv2E9qMTbxbBRd.jpg"
"https://seriesgraph.com/show/114461-ahsoka","Ahsoka","2","8","7.4","https://image.tmdb.org/t/p/w400/eiJeWeCAEZAmRppnXHiTWDcCd3Q.jpg"
"https://seriesgraph.com/show/70637-akashic-records-of-bastard-magic-instructor","Akashic Records of Bastard Magic Instructor","1","12","7.0","https://image.tmdb.org/t/p/w400/hTsIeYiZF1DJN1alsgVgk8iA5ci.jpg"
"https://seriesgraph.com/show/99799-alex-rider","Alex Rider","3","8","7.5","https://image.tmdb.org/t/p/w400/7VkzkvA0XckUClWrlkt4fnmTrkL.jpg"
"https://seriesgraph.com/show/39362-alphas","Alphas","2","13","7.2","https://image.tmdb.org/t/p/w400/1k2AG40UCvBGZTg6Kicsz1c9QSu.jpg"
"https://seriesgraph.com/show/116450-and-just-like-that","And Just Like That…","3","12","5.6","https://image.tmdb.org/t/p/w400/2b6E0pN19IGsmxSv6HyTKydKKdb.jpg"
"https://seriesgraph.com/show/42942-angel-beats","Angel Beats!","1","15","7.6","https://image.tmdb.org/t/p/w400/wz1PuXrg5ERQvyXKex3cGDie2hj.jpg"
"https://seriesgraph.com/show/39434-anohana-the-flower-we-saw-that-day","AnoHana: The Flower We Saw That Day","1","11","8.1","https://image.tmdb.org/t/p/w400/2tgOAvOttp7rak3r2U5vIAaeyDt.jpg"
"https://seriesgraph.com/show/65495-atlanta","Atlanta","4","11","8.6","https://image.tmdb.org/t/p/w400/8HZyGMnPLVVb00rmrh6A2SbK9NX.jpg"
"https://seriesgraph.com/show/670-baby-looney-tunes","Baby Looney Tunes","2","40","6.2","https://image.tmdb.org/t/p/w400/l7SLxIuRdyrpIVWSEDBdtxCOSCI.jpg"
"https://seriesgraph.com/show/80623-baki","BAKI","2","26","6.8","https://image.tmdb.org/t/p/w400/j4bL0G8h8k49MuXKYfZqhXqk2rI.jpg"
"https://seriesgraph.com/show/80564-banana-fish","Banana Fish","","24","8.1","https://image.tmdb.org/t/p/w400/d2TW5Rtd0uCasHlQygsDfWCROl2.jpg"
"https://seriesgraph.com/show/44606-beauty-and-the-beast","Beauty and the Beast","4","22","7.0","https://image.tmdb.org/t/p/w400/6rZ2I1xRemLORb65spepVmsvnf7.jpg"
"https://seriesgraph.com/show/61695-beyond-the-boundary","Beyond the Boundary","2","13","7.2","https://image.tmdb.org/t/p/w400/6cmtMbEZAYm3aWzthFRk6048LFi.jpg"
"https://seriesgraph.com/show/96716-big-shot","Big Shot","2","10","7.4","https://image.tmdb.org/t/p/w400/yBFqTVoQsFg53ein34BKbn7SU8Z.jpg"
"https://seriesgraph.com/show/31356-big-time-rush","Big Time Rush","4","27","6.6","https://image.tmdb.org/t/p/w400/34y5JjZYj2paoxA0RXEppU5LRpb.jpg"
